0.02;177
0.98;179
1.98;176
2.98;177
3.98;178
4.99;178
5.99;178
6.99;178
7.98;179
8.99;178
9.99;178
11;177
12;177
12.99;174
13.99;175
14.99;174
16;179
16.99;175
18.01;180
19.01;175
20.01;177
21;157
22;157
23.01172;157
24.00391;155
25.00391;156
26;158
27;156
28.00391;158
29.01953;159
30.00781;156
31.00781;157
32.01172;157
33.01172;156
34.01953;155
35.01563;157
36.02344;157
37.02344;156
38.03516;157
39.02734;158
40.02344;155
41.02344;156
42.02734;157
43.03906;158
44.03906;155
45.04;183
49.04688;155
49.04688;157
49.04688;155
49.04688;156
49.04688;156
50.03125;156
51.04688;155
52.04297;155
53.04297;156
54.03906;155
55.05469;160
56.05078;155
57.05469;160
58.05469;156
59.0625;156
61.06;189
62.06;188
63.07;189
64.06;190
65.05;189
66.06;190
67.07;192
68.07;192
69.08;190
70.08;191
71.08;191
72.08;193
73.08;194
74.09;193
75.08;192
76.09;195
77.09;197
78.09;194
79.09;196
80.09;195
81.09;199
82.09;195
83.08;195
84.09;198
85.09;195
86.09;195
87.09;195
88.09;195
89.09;199
90.1;196
91.09;197
92.1;197
93.09;197
94.11;198
95.11;197
96.11;198
97.11;197
98.12;198
99.12;196
100.12;199
101.12;197
102.12;197
103.12;198
104.12;198
105.11;197
106.11;196
107.13;196
108.13;201
109.12;198
110.12;198
111.13;199
112.13;199
113.13;200
114.13;199
115.14;199
116.13;201
117.14;201
118.13;201
119.14;202
120.13;202
121.13;201
122.13;201
123.15;202
124.15;202
125.15;206
126.15;202
127.15;202
128.15;201
129.16;205
130.16;203
131.16;202
132.16;203
133.16;204
134.16;203
135.16;204
136.15;203
137.16;205
138.16;204
139.16;205
140.17;206
141.16;205
142.17;204
143.17;206
144.17;208
145.17;206
146.18;206
147.18;207
148.18;205
149.18;208
150.19;207
151.18;206
152.19;207
153.19;207
154.19;209
155.19;211
156.2;207
157.19;207
158.2;207
159.2;207
160.2;209
161.2;208
162.2;205
163.2;206
164.2;206
165.2;206
166.2;205
167.2;204
168.2;205
169.21;209
170.21;205
171.21;205
172.21;204
173.22;210
174.21;206
175.22;209
176.22;207
177.22;207
178.22;208
179.22;206
180.23;207
181.23;208
182.23;208
183.23;209
184.23;208
185.23;209
186.23;212
187.23;207
188.23;208
189.23;208
190.23;208
191.23;207
192.23;208
193.23;210
194.24;209
195.24;212
196.24;208
197.24;210
198.25;209
199.25;210
200.25;210
201.25;210
202.25;210
203.25;210
204.26;209
205.26;209
206.26;209
207.26;210
208.26;209
209.26;210
210.27;210
211.27;214
212.27;214
213.26;213
214.26;211
215.27;210
216.27;212
217.27;212
218.27;212
219.27;212
220.27;211
221.28;212
222.27;213
223.28;212
224.28;212
225.28;212
226.28;212
227.29;213
228.28;213
229.29;213
230.29;212
231.29;213
232.29;213
233.3;216
234.3;213
235.3;217
236.3;214
237.3;214
238.3;213
239.3;217
240.3;213
241.3;216
